"index","n_re","peak_aci","peak_matlab","obj_aci","obj_msimps","obj_matlab","d_obj_native","d_obj_msimps","quad_diff","settled_frac","monotone"
354,948,0.0302133314462545,0.0302133314462541,0.104797348081704,0.104797345460847,0.104797345460847,2.62085669833212e-09,2.22044604925031e-16,2.62085647628751e-09,0.994725738396624,FALSE
355,947,0.0305918937542532,0.0305918937542532,0.102704792356278,0.102704792356278,0.102704792356277,7.35522753814166e-16,7.35522753814166e-16,0,0.994720168954593,FALSE
356,946,0.0309750514344264,0.030975051434426,0.101431449630621,0.10143144700853,0.10143144700853,2.6220910442909e-09,3.7470027081099e-16,2.62209141899117e-09,0.994714587737844,FALSE
357,945,0.0313628547043956,0.0313628547043958,0.100835682371916,0.100835682371916,0.100835682371916,1.94289029309402e-16,1.94289029309402e-16,0,0.994708994708995,FALSE
358,944,0.0317553542033538,0.0317553542033538,0.100739945244079,0.100739942620722,0.100739942620722,2.623357350795e-09,1.80411241501588e-16,2.62335753120624e-09,0.994703389830508,FALSE
359,943,0.0321526009929507,0.0321526009929508,0.0996359090991757,0.0996359090991757,0.0996359090991754,3.33066907387547e-16,3.33066907387547e-16,0,0.994697773064687,FALSE
360,942,0.0325546465581204,0.0325546465581215,0.0982872209529506,0.098287218328295,0.0982872183282947,2.62465590927796e-09,3.19189119579733e-16,2.62465559008884e-09,0.994692144373673,FALSE
361,941,0.032961542807846,0.0329615428078468,0.0960334742783427,0.0960334742783427,0.0960334742783411,1.60982338570648e-15,1.60982338570648e-15,0,0.994686503719447,FALSE
362,940,0.0333733420758614,0.0333733420758611,0.0947795067734851,0.0947795041474987,0.0947795041475003,2.62598476297171e-09,1.56819002228303e-15,2.62598633116173e-09,0.99468085106383,FALSE
363,939,0.0337900971212887,0.0337900971212889,0.0928713327570216,0.0928713327570216,0.0928713327570217,8.32667268468867e-17,1.11022302462516e-16,2.77555756156289e-17,0.994675186368477,FALSE
